agency,title,description,formats,link,
Land Information New Zealand,"Water turbulence points (Hydro, 1:1.5mil and smaller)","The disturbance of water caused by the interaction of any combination of waves, currents, tidal streams, wind, shoal patches and obstructions.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3186,
Land Information New Zealand,"Cable, submarine polyline (Hydro, 1:1.5mil and smaller)","An assembly of wires or fibres, or a wire rope or chain which has been laid underwater or buried beneath the seabed.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3210,
Land Information New Zealand,NZGD2000 deformation model version 2013-08-01 reverse patch coordinate shifts filled contours,"The deformation model associated with the NZGD2000 datum was updated, nominally at 1 August 2013.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3234,
Landcare Research,Mean February Soil Temperature (South Island),Soil temperature surfaces for the South Island of New Zealand are based on analysis of a combination of monthly mean soil temperature data from the NIWA (National Institute of Water and Atmospheric Research)3 years data from 175 mini-data-loggers (1997-2000) laid out in a stratified sampling scheme at 7 climatically representative locations in the South Island.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/3258,
Landcare Research,Mean Annual Soil Temperature (STYEAR),A 25m grid of mean annual soil temperature at 30cm depth derived by regression analysis from 175 data loggers and NIWA standard climate stations recording soil temperature.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/3306,
Land Information New Zealand,"Tideway polygons (Hydro, 1:4k - 1:22k)",A natural water course in intertidal areas where water flows during the ebb or flow.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3378,
Land Information New Zealand,Marlborough 0.4m Rural Aerial Photos (2008),Orthophotography for the Marlborough region taken during 2008.,"['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3546,
Land Information New Zealand,Northland 0.78m Rural Aerial Photos Index Tiles (2004),"Index Tiles ONLY, for actual orthophotos see layer Northland 0.78m Rural Aerial Photos (2004)[http://data.linz.govt.nz/layer/1916].","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3570,
Land Information New Zealand,Gisborne 0.4m Rural Aerial Photos (2012 - 2013),Orthophotography for the Gisborne District Council taken during 2012 and 2013.,"['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3594,
Land Information New Zealand,Christchurch Post-Earthquake 0.1m Urban Aerial Photos Index Tiles (24 February 2011),"Index Tiles ONLY, for actual orthophotos see layer Christchurch Post-Earthquake 0.1m Urban Aerial Photos (24 February 2011)[http://data.linz.govt.nz/layer/1932] Orthophotography of the area affected by the Christchurch Earthquake, 22 February 2011 for the Christchurch Response Centre (CRC).","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3618,
Land Information New Zealand,Chart NZ 2685 Kaingaroa Harbour,Raster chart image of: NZ 2685 Kaingaroa Harbour This data was compiled for the use at the following scale: 1:10000 File reference: NZ2685 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3714,
Land Information New Zealand,"Cook Islands Descriptive Texts (Topo, 1:50k, Zone3)",Descriptive text, object used to hold text.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3762
Land Information New Zealand,"Cook Islands Sand Polygons (Topo, 1:25k, Zone3)","Sand: crushed rock, shells etc smaller than 2mm in size Data Dictionary for sand_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-sand_poly] This layer is a component of the Topo50 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3786,
Land Information New Zealand,"Niue Track Centrelines (Topo, 1:50k)",A deliberately formed route of a lesser quality than a road Data Dictionary for track_cl: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-track_cl] This layer is a component of the Topo50 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3810,
Land Information New Zealand,"Niue Building Points (Topo, 1:50k)",A relatively permanent walled and roofed construction.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3834,
Land Information New Zealand,"Tokelau Bridge Centrelines (Topo, 1:25k)",A structure erected over a depression or obstacle to carry traffic or some facility such as a pipeline.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3858,
Land Information New Zealand,"Cook Islands Cemetery Points (Topo, 1:25k, Zone4)",A place for burying the dead.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3882,
Land Information New Zealand,"Cook Islands River Centrelines (Topo, 1:25k, Zone4)","A natural, flowing body of water emptying into an ocean, lake or other body of water and usually fed along it's course by converging tributaries.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3906,
Land Information New Zealand,"Cook Islands Track Centrelines (Topo, 1:50k, Zone4)",A deliberately formed route of a lesser quality than a road Data Dictionary for track_cl: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-track_cl] This layer is a component of the Topo50 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3930,
Land Information New Zealand,Nelson 0.4m Rural Aerial Photos Index Tiles (2014),"Index Tiles ONLY, for actual orthophotos see layer Nelson 0.4m Rural Aerial Photos (2014)[http://data.linz.govt.nz/layer/2105] Orthophotography for the Nelson region taken in the flying season (summer period) of 2013-2014.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/3954,
Ministry for the Environment (MfE),Land Environments New Zealand (LENZ) - Level 4 Grid (2009),"Land Environments of New Zealand (LENZ) is a classification of fifteen climate, landform, and soil variables chosen for their relevance to biological distributions.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/4122,
Ministry for the Environment (MfE),River Environment Classification Watershed Bay of Plenty (2010),The New Zealand River Environment Classification (REC) organises information about the physical characteristics of New Zealand's rivers.,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/4146,
Ministry for the Environment (MfE),Annual Average PM2.5 Concentration,"Note: PM2.5 concentrations are given in micrograms per cubic metre of air, or µg/m3.","['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4170,
Landcare Research,Vegetative Cover Map of New Zealand,"The 1:1,000,000 scale Vegetative Cover Map of New Zealand is the first vegetation survey which can be applied nationally for planning, research, and education.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/4218,
New Zealand Defence Force,SW Pacific Storage Tank Areas,Show a container used for the storage of liquids and/or gases that is not supported by a tower.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4242,
New Zealand Defence Force,SW Pacific Well Points,Show an excavation drilled or dug into the ground (for example: the sea bed) for the extraction of liquids and/or gases.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4266,
New Zealand Defence Force,SW Pacific Aircraft Hangar Areas,Shows the location of aircraft hangers.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4290,
New Zealand Defence Force,SW Pacific Ferry Crossing Lines,Shows a route where a ferry crosses from one shore to another.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4314,
New Zealand Defence Force,SW Pacific Mariculture Site Areas,"Show an assemblage of cages, nets, rafts and floats or posts where fish, including shellfish, are artificially cultivated.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4338,
Canterbury Regional Council,Contours Ashburton Coastal 2010,NZ Aerial Mapping (NZAM) collected LiDAR sensor data over 916 sq km NZ Aerial Mapping (NZAM) collected LiDAR sensor data over 916 sq km within Environment Canterbury’s territory.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4362,
Canterbury Regional Council,Rangiora Contours 2014,,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4410,
Canterbury Regional Council,Salmon Spawning Sites,This layer shows lengths of Canterbury Rivers that are deamed as a significant spawning sites for salmon.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4458,
Canterbury Regional Council,Original Native Reserves,This datset is the digital representation of the original Native Reserves set aside during the land purchases of the mid 1800's.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4482,
Canterbury Regional Council,High Naturalness Water Bodies - Rivers including tributaries,"High naturalness rivers, including tributaries as defined in the Land and Water Regional Plan.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4506,
Canterbury Regional Council,NRRP Significant Vegetation of Water Bodies,"GIS layer showing significant indigeneous aquatic, littoral and riparian vegetation of Canterbury water bodies.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4530,
Land Information New Zealand,NZ Kermadec Is Topo25 Gridless Maps,"The Topo50 map series provides topographic mapping for the New Zealand mainland, the Chatham Islands, and offshore islands at 1:50,000 (some of the islands at 1:25,000) scale.","['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/4650,
Landcare Research,"LCDB v4.1 Version Trace, Mainland New Zealand","This data set (LCDB v4.1 Version Trace) allows users to track changes back to the previous version (v4.0), and to reconcile derived quantities, such as the total area of a class in a region, to those derived from the earlier LCDB version.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/4674,
Ministry for the Environment (MfE),"Economic performance of the agriculture industry - Overseas merchandise exports, 2014",Data on the economic performance of the agriculture industry describes agriculture’s contribution to the New Zealand economy.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4770,
Ministry for the Environment (MfE),"Annual national electricity generation, total and hydrogeneration, 1974-2013",Hydroelectricity is a renewable source of electricity.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4794,
Ministry for the Environment (MfE),Conservation status of seabird species and subspecies (2012),New Zealand has 92 seabird and 14 shorebird species and subspecies (taxa).,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4818,
Ministry for the Environment (MfE),"Soil health and land use - Soil health indicators within target range, by land use, 2009-13",Different land uses put pressure on the land environment and can result in changes to soil health.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4842,
Ministry for the Environment (MfE),Natural and human made PM10,We measure the annual concentrations and proportions of natural and anthropogenic particulate matter 10 micrometres or less in diameter (PM10).,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4866,
Ministry for the Environment (MfE),Relative contribution of other sources,"Other human-made sources – such as aviation, forestry, and non-combustion industrial activities (eg grinding and crushing) – generally emit relatively small amounts of key air pollutants.","['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4890,
Ministry for the Environment (MfE),Methane concentrations at Baring Head (1989–2013),"Greenhouse gases (GHGS) in the atmosphere absorb heat radiating from Earth, warming the atmosphere.","['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/4914,
Land Information New Zealand,Chart NZ 5125 Waitangi,Raster chart image of: NZ 5125 Waitangi This data was compiled for the use at the following scale: 1:7000 File reference: NZ512502 THIS DATA DOES NOT REPLACE NAUTICAL CHARTS AND MUST NOT TO BE USED FOR NAVIGATION.,"['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5058,
Ministry for the Environment (MfE),Distribution of stoats 2002–2014,"""The pressure from animal and plant pests is one of the biggest threats to biodiversity in the land environment.","['KML', 'Other Geo']",https://data.govt.nz/dataset/show/5082,
Ministry for the Environment (MfE),Mortality of indigenous tree sp m??hoe 2002–2014,"""The rates of death (mortality) of indigenous tree species vary across New Zealand.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5106,
Ministry for the Environment (MfE),Freshwater pests: Purple loosestrife,"""Freshwater plant and animal pests can have significant negative impacts on ecosystem health by reducing indigenous biodiversity through predation and competition, and destabilising aquatic habitats.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5130,
Ministry for the Environment (MfE),Freshwater pests: Lagarosiphon,"""Freshwater plant and animal pests can have significant negative impacts on ecosystem health by reducing indigenous biodiversity through predation and competition, and destabilising aquatic habitats.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5154,
Ministry for the Environment (MfE),Freshwater pests: Water hyacinth,"""Freshwater plant and animal pests can have significant negative impacts on ecosystem health by reducing indigenous biodiversity through predation and competition, and destabilising aquatic habitats.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5178,
Ministry for the Environment (MfE),"Annual average sea surface temperature, 2000",The ocean waters surrounding New Zealand vary in temperature from north to south.,"['KML', 'Other Geo']",https://data.govt.nz/dataset/show/5202,
Ministry for the Environment (MfE),"Annual rainfall Units: percentage of normal, 1983",Annual rainfall is the total accumulated rain over one year.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5226,
Ministry for the Environment (MfE),Units: percentage of normal sunshine hours 1989,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5250,
Ministry for the Environment (MfE),Units: percentage of normal sunshine hours 1972,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5274,
Ministry for the Environment (MfE),"Annual rainfall, 1972",Annual rainfall is the total accumulated rain over one year.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5298,
Ministry for the Environment (MfE),"Annual rainfall, 1999","""Annual rainfall is the total accumulated rain over one year.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5322,
Ministry for the Environment (MfE),Sunshine hours 1982,"""Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5346,
Ministry for the Environment (MfE),"Annual sea surface temperature difference from normal, 2002",The ocean waters surrounding New Zealand vary in temperature from north to south.,"['KML', 'Other Geo']",https://data.govt.nz/dataset/show/5370,
Ministry for the Environment (MfE),Sunshine hours 2003,"Sunshine is important for our health and recreation, and for the environment.","['API', 'Other Geo']",https://data.govt.nz/dataset/show/5394,
Ministry for the Environment (MfE),"Growing season soil moisture deficit, 2013-2014",Soil moisture is important for plant growth.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5418,
Ministry for the Environment (MfE),Standardised soil moisture deficit 1973-1974,Soil moisture is important for plant growth.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5442,
Ministry for the Environment (MfE),Standardised soil moisture deficit 1991-1992,Soil moisture is important for plant growth.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5466,
Ministry for the Environment (MfE),"Water clarity, 1989–2013","""Water clarity is a measure of underwater visibility in rivers and streams and can vary due to differences in land use, climate, elevation, and geology.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5490,
Canterbury Regional Council,Canterbury 10m DEM,This DEM is primarily derived from LiDAR data (where available) and photogrammetry from the 2012 to 2015 rural aerial surveys.,"['API', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5514,
Statistics New Zealand,Languages by meshblock (2013 Census),This Data service is a prototype model to enable people to find Statistics NZ data in geographic and other formats.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5538,
Palmerston North City Council,Stormwater Fixtures,Storm Fixture location data held by Palmerston North City Council.,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5562,
Statistics New Zealand,Retail Trade Survey September 2015 quarter,The Retail Trade Survey measures the sales turnover and stock levels of a wide range of businesses that provide household and personal goods and services.,"['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/5610,
Greater Wellington Regional Council,Fault avoidance zones in Porirua District,"Porirua District is traversed by three active faults: the Ohariu, Pukerua, and Moonshine faults.","['CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/5634,
Land Information New Zealand,Taranaki 1970 to NZVD2016 Conversion,The TNK70-NZVD2016 grid enables the conversion of normal-orthometric heights from the Taranaki 1970 local vertical datum to the New Zealand Vertical Datum 2016 (NZVD2016).,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5658,
Land Information New Zealand,NZ Quasigeoid 2016 Raster,"New Zealand Quasigeoid 2016 Raster, provides users with a one arc-minute gridded (approximately 1.8 kilometres) raster image of the New Zealand Quasigeoid 2016 (NZGeoid2016).","['API', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5682,
Landcare Research,NZEEM (Erosion Rates) South Island,Mean annual erosion rates (tonnes of soil/km2/yr) in the South Island of New Zealand under current landcover generated from EcoSat Woody[http://lris.scinfo.org.nz/layer/184-ecosat-woody-south-island/] (2001-2003).,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5706,
Ministry for the Environment (MfE),Estimated sea lion captures in all trawl fisheries (1996–2014),"Sea lions and fur seals are the protected species most directly affected by fisheries in New Zealand waters, along with seabirds and dolphins.","['API', 'CSV', 'Other Geo']",https://data.govt.nz/dataset/show/5730,
Ministry for the Environment (MfE),"Primary productivity anomalies, 2015",The average concentration of chlorophyll-a (chl-a) in phytoplankton for 2015.,"['API', 'Other Geo']",https://data.govt.nz/dataset/show/5754,
Statistics New Zealand,Regional Council 2001,This is the definitive set of regional council boundaries for 2006 as defined by the Local Government Commission and/or regional councils themselves but maintained by Statistics New Zealand (the custodian) as at 1 January 2006.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5778,
Land Information New Zealand,Canterbury 0.3m Rural Aerial Photos Index Tiles (2015-16),"Index Tiles ONLY, for actual orthophotos see layer Canterbury 0.3m Rural Aerial Photos (2015-16)[http://data.linz.govt.nz/layer/3519] Orthophotography for the Canterbury region taken in the flying season (summer period) 2015-16.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/5802,
Northland Regional Council,Northland Airsheds,Airsheds from the Northland Regional Air Quality Plan The National Environmental Standard for Air Quality required the Northland Regional Council to gazette areas where the concentration of air pollutants may come close to the relevant national standard at times.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/839,
Ministry for the Environment (MfE),River Environment Classification Catchment Order 8 (2010),"The REC groups rivers and parts of river networks that share similar ecological characteristics, including physical and biological.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/935,
NIWA,New Zealand 250m Bathymetry Rainbow (2008),"Colour-encoded image of bathymetry built from published New Zealand bathymetric contours (Chart Around New Zealand (CANZ) Group (2008), 'New Zealand Region Bathymetry', 1:4,000,000 scale at 46°S on Mercator projection, NIWA Chart, Miscellaneous Series No. 85, National Institute of Water and Atmospheric Research, Wellington, New Zealand) edged-matched with bathymertic contours from GEBCO 2003 (IOC, IHO and BODC, 2003.","['KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/983,
Ministry for the Environment (MfE),Erosion Susceptibility 4 Classes (2012),"Erosion susceptibility is defined by the predisposition (of a land unit) to erode, preparatory factors (such as the are removal of forest), the Likelihood and severity of an erosion event, and the consequences of an erosion event.","['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/1199,
Wellington City Council,Wellington City Corrosion Zone,Wellington Corrosion Zone as 500m buffer from coastline.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1223,
Landcare Research,Soil Survey of Opotiki County,The dataset contains polygons of soils of Opotiki District mapped at 1:15000.,"['API', 'CSV', 'KML', 'Other Geo']",https://data.govt.nz/dataset/show/1271,
Land Information New Zealand,"NZ Bridge Centrelines (Topo, 1:50k)",A structure erected over a depression or obstacle to carry traffic or some facility such as a pipeline.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1319,
Land Information New Zealand,NZ Geodetic Marks,"This dataset provides information about the position, position accuracy, mark name, mark type, condition and unique four letter code for geodetic marks in terms of a New Zealand's official geodetic datum.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1343,
Land Information New Zealand,"Sea area/named water area polygon (Hydro, 1:350k - 1:1,500k)",A geographically defined part of the sea or other navigable waters.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1367,
Land Information New Zealand,"NZ Windmill Points (Topo, 1:50k)",A mill or other machine that runs on the energy generated by a wheel of adjustable blades or flats rotated by the wind Data Dictionary for windmill_pnt: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-windmill_pnt] This layer is a component of the Topo50 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1391,
Land Information New Zealand,"NZ Descriptive Texts (Topo, 1:50k)",Descriptive text, object used to hold text.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1415
Land Information New Zealand,"Coastline polyline (Hydro, 1:22k - 1:90k)",The line where shore and water meet.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1439,
Land Information New Zealand,"NZ Mud Polygons (Topo, 1:50k)","An area of wet, soft earthy matter Data Dictionary for mud_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-mud_poly] This layer is a component of the Topo50 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1463,
Land Information New Zealand,"Sea area/named water area polygons (Hydro, 1:4k - 1:22k)",A geographically defined part of the sea or other navigable waters.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1487,
Land Information New Zealand,"Sand waves points (Hydro, 1:4k - 1:22k)",A large mobile wave-like sediment feature in shallow water and composed of sand.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1511,
Land Information New Zealand,"Pipeline, submarine/on land polyline (Hydro, 1:4k - 1:22k)","A pipeline is a string of interconnected pipes used for the transport of matter, nowadays mainly oil or gas.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1535,
Land Information New Zealand,"Waterfall points (Hydro, 1:22k - 1:90k)",A sudden descent of water over a step in the bed of a river.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1559,
Land Information New Zealand,"Pilot boarding place polygon (Hydro, 1:22k - 1:90k)",The meeting place to which the pilot comes out.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1583,
Land Information New Zealand,"Buoy, installation points (Hydro, 1:350k - 1:1,500k)","A buoy is a floating object moored to the bottom in a particular place, as an aid to navigation or for other specific purposes.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1607,
Land Information New Zealand,"Tideway polyline (Hydro, 1:22k - 1:90k)",A natural water course in intertidal areas where water flows during the ebb or flow.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1631,
Land Information New Zealand,"Land area polygons (Hydro, 1:4k - 1:22k)","The solid portion of the Earth's surface, as opposed to sea, water.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1655,
Land Information New Zealand,"Current - non-gravitational points (Hydro, 1:22k - 1:90k)","Currents (non-gravitational) include either singly or in combination: ocean currents (wind and/or density driven), inter-oceanic equalising currents, currents of navigable rivers, river outflow effects offshore and other non-tidal flows.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1679,
Land Information New Zealand,"Cable area polygon (Hydro, 1:90k - 1:350k)",An area which contains one or more submarine cables.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1703,
Land Information New Zealand,"Depth area polygons (Hydro, 1:4k - 1:22k)",A depth area is a water area whose depth is within a defined range of values.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1727,
Land Information New Zealand,"Light points (Hydro, 1:350k - 1:1,500k)",A luminous or lighted aid to navigation.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1751,
Land Information New Zealand,"NZ Shelter Belt Centrelines (Topo, 1:50k)",A line of trees which breaks or interrupts the force of the wind Data Dictionary for shelter_belt_cl: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-shelter_belt_cl] This layer is a component of the Topo50 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1775,
Land Information New Zealand,"NZ Sand Polygons (Topo, 1:50k)","Sand: crushed rock, shells etc smaller than 2mm in size Data Dictionary for sand_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-sand_poly] This layer is a component of the Topo50 map series.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1799,
Land Information New Zealand,"NZ Waterfall Edges (Topo, 1:50k)",a sudden descent of water over a step or ledge in the bed of a river.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1823,
Land Information New Zealand,"NZ Residential Area Polygons (Topo, 1:250k)",The group of houses and their sections that together make up a residential area Data Dictionary for residential_area_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-residential_area_poly] This layer is a component of the Topo250 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1847,
Land Information New Zealand,"NZ Cliff Edges (Topo, 1:50k)","A high, steep or overhanging face or rock.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1871,
Land Information New Zealand,"NZ Ice Polygons (Topo, 1:500k)",A region of permanent ice Data Dictionary for ice_poly: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-ice_poly] This layer is a component of the Topo500 data.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1895,
Land Information New Zealand,"NZ Well Points (Topo, 1:50k)",A pit or hole dug or bored into the earth Data Dictionary for well_pnt: apps.linz.govt.nz/topo-data-dictionary/index.aspx?...[http://apps.linz.govt.nz/topo-data-dictionary/index.aspx?page=class-well_pnt] This layer is a component of the Topo50 map series.,"['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1919,
Land Information New Zealand,"Land area points (Hydro, 1:90k - 1:350k)","The solid portion of the Earth's surface, as opposed to sea, water.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1943,
Land Information New Zealand,"Obstruction polygon (Hydro, 1:90k - 1:350k)","In marine navigation, anything that hinders or prevents movement, particularly anything that endangers or prevents passage of a vessel.","['API', 'CSV', 'KML', 'Other Geo', 'PDF']",https://data.govt.nz/dataset/show/1967,
