Organisation,Sector,Common name,Postal address,Physical address,Generic Email,Generic Phone,Generic Fax,CE personal title,CE first name,CE surname,CE name suffix,CE greeting name,Mayor personal title,Mayor first name,Mayor surname,Mayor name suffix,Mayor greeting name,Chair personal title,Chair first name,Chair surname,Chair name suffix,Chair greeting name
Waimate District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Waimate District Council,"PO Box 122 
Waimate 7960","Local Government Centre 
125 Queen Street 
Waimate 7924",council@waimatedc.govt.nz,+64 3 689 0000,+64 3 689 8075,,Bede,Carran,,Bede Carran,,Craig ,Rowley,,Craig  Rowley,,,,, 
Waipa District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Waipa District Council,"Private Bag 2402 
Te Awamutu 3840","101 Bank Street 
Te Awamutu 3800",info@waipadc.govt.nz,"+64 7 872 0030
0800 924 723",+64 7 872 0033,,Garry,Dyet,,Garry Dyet,,Jim,Mylchreest,,Jim Mylchreest,,,,, 
Wairarapa District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",Wairarapa District Health Board,"PO Box 96 
Blair Street 
Masterton 5840","Te Ore Ore Road 
Masterton 5840",communications@wairarapa.dhb.org.nz    ,+64 6 946 9800,+64 6 946 9881,,Graham,Dyer,,Graham Dyer,,,,, ,,Derek,Milne,,Derek Milne
Wairoa District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Wairoa District Council,"PO Box 54 
Wairoa 
Hawke's Bay 4160","Coronation Square 
97-103  Queen Street 
Wairoa 
Hawke's Bay 4108    ",administrator@wairoadc.govt.nz,+64 6 838 7309,+64 6 838 8874,,Fergus,Power,,Fergus Power,,Craig,Little,,Craig Little,,,,, 
Waitaki District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Waitaki District Council,"Private Bag 50058 
Oamaru 9444","20 Thames Street 
Oamaru 9400",service@waitaki.govt.nz,"+64 3 433 0300
0800 108 081",+64 3 433 0301,,Michael,Ross,,Michael Ross,,Gary,Kircher,,Gary Kircher,,,,, 
Waitangi Tribunal,"Public Service
    -> State Services
        -> Public Sector",Waitangi Tribunal,"DX SX 11237 
Wellington","Level 7 Fujitsu Tower 
141  The Terrace 
Wellington",WaitangiTribunal@justice.govt.nz,+64 4 914 3000,+64 4 914 3001,,,,, ,,,,, ,,,,, 
Waitemata District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",Waitemata District Health Board,"Private Bag 93-503
 
Auckland 0740","Level 2 
15 Shea Terrace 
Takapuna 
Auckland 0622",customerfeedback@waitematadhb.govt.nz,+64 9 486 8900,,Dr,Dale ,Bramley,,Dr Bramley,,,,, ,Dr ,Lester ,Levy,,Dr  Levy
Waitomo District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Waitomo District Council,"PO Box 404 
Te Kuiti 3941","Queen Street 
Te Kuiti 3941",info@waitomo.govt.nz,"+64 7 878 0800
0800 932 4357",+64 7 878 7771,,Chris,Ryan,,Chris Ryan,,Brian,Hanna,,Brian Hanna,,,,, 
Weathertight Services,"Public Service
    -> State Services
        -> Public Sector",Weathertight Services,"PO Box 1473 
Wellington  6140","15 Stout Street 
Wellington 6011",info@mbie.govt.nz ,"+64 4 237 1604
0800 324 477",+64 4 494 0290,,,,, ,,,,, ,,,,, 
Wellington City Council,"City Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Wellington City Council,"PO Box 2199 
Wellington 6140","101 Wakefield Street 
Wellington 6011",info@wcc.govt.nz,+64 4 499 4444,+64 4 801 3138,,Kevin,Lavery,,Kevin Lavery,,Justin,Lester,,Justin Lester,,,,, 
Wellington Regional Council,"Regional Council
    -> Local Authority
        -> Public Sector",Wellington Regional Council,"PO Box 11646 
Wellington 6142","Shed 39 
2 Fryatt Quay 
Piptea 
Wellington 6011",info@gw.govt.nz,"+64 4 384 5708
0800 496 734",+64 4 385 6960,,Greg,Campbell,,Greg Campbell,,,,, ,,Chris,Laidlaw,,Chris Laidlaw
West Coast District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",West Coast District Health Board,"PO Box 387 
Greymouth 7840","Grey Base Hospital 
High Street 
Greymouth 7805",info@westcoastdhb.health.nz,+64 3 769 7400,+64 3 769 7731,,David,Meates,,David Meates,,,,, ,,Peter,Ballantyne,,Peter Ballantyne
West Coast Regional Council,"Regional Council
    -> Local Authority
        -> Public Sector",West Coast Regional Council,"PO Box 66 
Greymouth 7840","388 Main South Road 
Paroa 
Greymouth 7805",info@wcrc.govt.nz,"+64 3 768 0466
0508 800 118",+64 3 768 7133,,Chris,Ingle,,Chris Ingle,,,,, ,,Andrew,Robb,,Andrew Robb
Western Bay of Plenty District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Western Bay of Plenty District Council,"Private Bag 12803
Tauranga Mail Centre 
Tauranga 3143","1484 Cameron Road 
Greerton 
Tauranga",customerservice@westernbay.govt.nz,"+64 7 571 8008
0800 926 732",+64 7 577 9820,,Miriam,Taris,,Miriam Taris,,Ross,Paterson,,Ross Paterson,,,,, 
Westland District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Westland District Council,"Private Bag 704 
Hokitika 7842","36 Weld Street 
Hokitika 7810",council@westlanddc.govt.nz,"+64 3 756 9010
0800 474 834",+64 3 756 9045,,Tanya,Winter,,Tanya Winter,,Bruce,Smith,,Bruce Smith,,,,, 
Whakatāne District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Whakatāne District Council,"Private Bag 1002 
Whakatāne 3158","Civic Centre 
14 Commerce Street 
Whakatāne",info@whakatane.govt.nz,+64 7 306 0500,+64 7 307 0718,,Marty,Grenfell,,Marty Grenfell,,Tony,Bonne,,Tony Bonne,,,,, 
Whanganui District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Whanganui District Council,"PO Box 637 
Whanganui 4540","101  Guyton Street  
Whanganui 5015",wdc@whanganui.govt.nz,+64 6 349 0001,+64 6 349 0000,,Kym,Fell,,Kym Fell,,Hamish,McDouall,,Hamish McDouall,,,,, 
Whanganui District Health Board,"District Health Boards
    -> Crown agents
        -> Statutory entities
            -> Crown entities
                -> State Services
                    -> Public Sector",Whanganui District Health Board,"Private Bag 3003 
Whanganui Mail Centre 
Whanganui 4540","100 Heads Road 
Whanganui 4501",contact@wdhb.org.nz,+64 6 348 1234,,,Julie,Patterson,,Julie Patterson,,,,, ,,Dot,McKinnon,,Dot McKinnon
Whangarei District Council,"District Council
    -> Territorial Authority
        -> Local Authority
            -> Public Sector",Whangarei District Council,"Private Bag 9023 
Whangarei 0148","Forum North Building 
Rust Avenue 
Whangarei 0110",mailroom@wdc.govt.nz,"+64 9 430 4200
0800 932 463",+64 9 438 7632,,Rob,Forlong,,Rob Forlong,,Sheryl,Mai,,Sheryl Mai,,,,, 
Work and Income,"Public Service
    -> State Services
        -> Public Sector",Work and Income,"Ministry of Social Development
PO Box 1556 
Wellington 6140","Bowen State Building 
Bowen Street 
Wellington 6011",information@msd.govt.nz,"+64 4 916 3300
0800 559 009",+64 4 918 0099,,,,, ,,,,, ,,,,, 
WorkSafe New Zealand,"Crown agents
    -> Statutory entities
        -> Crown entities
            -> State Services
                -> Public Sector",WorkSafe New Zealand,"PO Box 165 
Wellington 6140","Level 6 
86 Customhouse Quay 
Wellington 6011",info@worksafe.govt.nz,"+64 4 897 7699
0800 030 040",+64 4 914 6866,,Gordon,MacDonald,,Gordon MacDonald,,,,, ,,,,, 
Youth Court,"Public Service
    -> State Services
        -> Public Sector",Youth Court,"PO Box 180 
Wellington","Level 3 Justice Centre 
Aitken Street 
Wellington",youthcourt@justice.govt.nz,+64 4 918 8800,+64 4 918 8820,,,,, ,,,,, ,,,,, 
